particle,q,rms_over_L,p95_over_L,max_over_L,first_half_rms,second_half_rms
1,1,0.019663416316899957,0.03092481464211636,0.03336737424109468,0.019658785304144458,0.019668046239243207
3,1,0.009779958980636404,0.014141927400785353,0.014836416696455093,0.009779000107545588,0.009780917759724016
1,2,0.03548387127098489,0.050000350760383755,0.05131660213652603,0.035476167741227825,0.03549270822183854
3,2,0.017425736313012235,0.023008299605468917,0.023777548706763296,0.017425546667527884,0.01742758949502816
1,3,0.04541146782035069,0.059002964909058674,0.05993702315263713,0.045407326264322666,0.045419044488688415
3,3,0.02147417176509677,0.027765964186246318,0.028453665509634588,0.021475339019951186,0.021476319720649038
1,4,0.04844018973884943,0.05966258807986969,0.060391373988299316,0.048442556485326735,0.048440872678746694
3,4,0.02126337495630916,0.02748513021654947,0.02844221457041317,0.021264469230797344,0.02126457979484719
1,5,0.04428656241666241,0.05804495237476826,0.059157597566854264,0.04429110986758329,0.044282749394307624
3,5,0.016826528549841617,0.02239729728301474,0.023222639900780596,0.016826174972349863,0.016827373200680767
1,6,0.03333836027953959,0.04769305860219875,0.049095496878174126,0.03334002024154067,0.03333592523239687
3,6,0.00890109607001362,0.013124601045652991,0.013820943352697252,0.00890035097894919,0.00890231912426874
1,7,0.01674533618930235,0.02670156702953234,0.027909170119449482,0.016744938388517868,0.016745415921357976
3,7,0.001079796849744333,0.0016420648435009188,0.0017880784242740968,0.0010795116797711133,0.0010796120306309689
1,8,0.0032850811344114893,0.005434787150903099,0.0058071307593212,0.00328332910992043,0.00328465876014122
3,8,0.010652421645577281,0.015116391720997017,0.01573733118627788,0.010651976455524499,0.010654075861775456
1,9,0.022489821475445034,0.03493073891648606,0.03778397213345138,0.02248295927820241,0.02249343376368128
3,9,0.017991744913838512,0.023503008610876706,0.024191022913743743,0.017992655540606424,0.017995105889323883
1,10,0.037479098962078274,0.0521618258061968,0.05362422774369102,0.037470310207232994,0.037486733979523804
3,10,0.021639462053435213,0.027861474145488094,0.028294222816192278,0.02164185749165482,0.021643455065799372
1,11,0.04636018823001376,0.059555053430760334,0.06056069352320756,0.04635643738513577,0.046365575106072955
3,11,0.02100533390772592,0.02729067150420927,0.028266607217777472,0.021007429340739486,0.021008455949003992
1,12,0.048255517033946906,0.05973622696789236,0.060537359581106696,0.04825860351939978,0.04825445026028927
3,12,0.016189111695342442,0.02167924711759603,0.022506492060640666,0.016189615612797633,0.016191851356384207
1,13,0.042987125409712945,0.057067764120098376,0.05810934573287616,0.04299192177546531,0.042983508683071055
3,13,0.00801361312376626,0.011973566183202321,0.01267620550188915,0.008013657029631277,0.008016359927688654
1,14,0.03105067756986668,0.04558693865059622,0.04655118226751789,0.031052931761938306,0.031049689046726614
3,14,0.0021449425719714432,0.003275601530582392,0.0035424838352319924,0.0021441837246382574,0.002144049585200909
1,15,0.013754758107544372,0.022102276678614044,0.02235058339049507,0.013755823276883667,0.013756938215297559
3,15,0.011513279275880268,0.016008055476120088,0.016525122870476725,0.011512949311915086,0.011514713224981604
1,16,0.006506423640037549,0.010622362748493782,0.011129599244014575,0.006503695381016068,0.006503359795685375
3,16,0.01852334686518582,0.023981135748101134,0.024462560961887196,0.018524879799787484,0.018527043739831054
1,17,0.025199378332360554,0.03855684399363989,0.041183348487641505,0.02519170482763375,0.02520060741181085
3,17,0.0217590719042714,0.027754813946916514,0.02799990093582773,0.021762206856139985,0.021763666425751102
1,18,0.03931353322170628,0.05396667003022507,0.054982418710696174,0.03930525347773192,0.039319053592376196
3,18,0.020699387930422357,0.02698001376055395,0.027925865992245148,0.020702011179283646,0.020703369605635707
1,19,0.047130867310593905,0.0597026881025269,0.06091304075046384,0.047128777694533976,0.04713408213426969
3,19,0.015511652532983061,0.020836068765256493,0.021644097750678822,0.015512630641485286,0.015515573767731692
1,20,0.04789224089577232,0.060035181711072104,0.060576245301684005,0.04789677689776589,0.047890470306425514
3,20,0.007113601893705716,0.010764768326991232,0.011423274350116395,0.007114352237898487,0.0071175697505603906
1,21,0.04152535156334589,0.055934157694392105,0.056719821375601415,0.041530629975199566,0.04152342156274632
3,21,0.003184472675179747,0.004874532987626783,0.005245971914894646,0.0031831300373913493,0.0031825236050540004
1,22,0.02863619483496122,0.04286459832218628,0.04443617925084509,0.028638688683063924,0.02863796051241626
3,22,0.012357043063371558,0.016891611558066504,0.01721726426505528,0.012356297317507595,0.012357417827230861
1,23,0.010704150717261366,0.017103547280990776,0.01754441268878536,0.010705870846536413,0.010708855809928825
3,23,0.019021674450598013,0.024613240824261674,0.02478385020492141,0.019023064826600232,0.019024493417736644
1,24,0.009647301257261636,0.015473617160175398,0.015944287320986506,0.009644079030467262,0.00964319685935849
3,24,0.021836055128721738,0.02748599373815239,0.02778656394606187,0.021839073907126975,0.021839889184264258
1,25,0.027780947734445754,0.04183549629477492,0.04372265446466288,0.027773376989487425,0.02778189685353722
3,25,0.02034806976822977,0.026478769800448214,0.027398640149789977,0.020350412327674455,0.0203516646608484
1,26,0.04098670766386867,0.055508359619633824,0.05620039377599107,0.040979689010625334,0.040992072558266215
3,26,0.014793923680635751,0.0199017783530109,0.02061443236987443,0.01479477328924538,0.014798045315429043
1,27,0.04772675805407841,0.06000401103991679,0.06060409319100737,0.047726538066967146,0.04772974326180937
3,27,0.006194920391198648,0.009450610183395507,0.010044262913555518,0.0061961389584243385,0.006199466508334926
1,28,0.04735515465607642,0.05984820773123883,0.06088635494113973,0.04736083865215119,0.047354063312486455
3,28,0.0041924734480839766,0.0064311049486260536,0.006884286576026663,0.004190485337200795,0.00418945406881668
1,29,0.039905736377235726,0.05452658047664974,0.05537034380549203,0.03991078816045294,0.03990572134374025
3,29,0.013177520240202963,0.017893151251488444,0.018061652381378034,0.013175943232924966,0.013176382860778614
1,30,0.02609728179419232,0.03969102501017727,0.04209382969980923,0.026098914069793876,0.026100926406537283
3,30,0.019486789040692162,0.02518114816935924,0.025777773161486918,0.019487340774269675,0.01948790060264536
1,31,0.00758821340704417,0.012316150143836517,0.012849058008666633,0.007589514027550038,0.007593546034670207
3,31,0.021873445274328898,0.027137280558886184,0.027484367693533452,0.02187551637983739,0.0218755126893624
1,32,0.012718469728067556,0.020330683303434547,0.020642810210379895,0.01271523939773513,0.012716159112904836
3,32,0.0199550852434864,0.0259174084855443,0.026714857757037313,0.019956372775324322,0.019957301554569137
1,33,0.0302372681241416,0.0447299745314097,0.045830870397473876,0.030230004377860976,0.030240665651687634
3,33,0.014037679567076054,0.01889523357398296,0.019453161176940226,0.014037827687785968,0.014041112954596114
1,34,0.042502392845154544,0.056688830420033094,0.057644789101748556,0.04249639412607008,0.04250955480841874
3,34,0.0052511741433342324,0.008044058445232056,0.008576995408557253,0.005252509787726458,0.0052555700911929735
1,35,0.04815001049634843,0.05984245815109884,0.0605151999118654,0.04815067542233687,0.04815394226208936
3,35,0.005167924137624335,0.007911949355643598,0.00844976820843492,0.005165379713441272,0.005164166971910382
1,36,0.046644778195743176,0.059586873204923854,0.060763741144065894,0.04665000028915062,0.04664451237433745
3,36,0.01396897047952233,0.018804669194518925,0.019349053227576747,0.013966480812291663,0.01396636854818198
1,37,0.03812661211836143,0.05280525283620229,0.05421514542474633,0.03812973724625436,0.03812749073299404
3,37,0.0199175089420353,0.025855068564364998,0.026648502599380588,0.019916934602155597,0.019916656569912795
1,38,0.02343106400413716,0.036150784537766184,0.03908173277894752,0.023430403446002147,0.023434795454784926
3,38,0.02187333987328636,0.02713240222179819,0.027455083699238186,0.021874055636196384,0.0218732064594579
1,39,0.004394904639496102,0.007250140413631533,0.007674234961483917,0.004394925404839987,0.004398747089183657
3,39,0.019524376575389246,0.02523775569505908,0.025850174416737415,0.019524232319302493,0.019524699925289598
1,40,0.015729285789345845,0.02524108160839563,0.0259332367739172,0.015726363987588924,0.01573011366746153
3,40,0.01324656091095831,0.017960311600524914,0.018171700344689647,0.013245711566550923,0.013248715948144989
1,41,0.03256879404558624,0.04695811240863337,0.04826442601392458,0.03256189158455732,0.032575135281509245
3,41,0.004277189690958139,0.006566120602886918,0.007014662644192026,0.004278331967587878,0.004280805000733779
1,42,0.04385853495990139,0.0577148649560349,0.0587959098878325,0.043853483071830665,0.0438668399716308
3,42,0.00611357424906443,0.009319002001729589,0.009932769343570166,0.006110739330184554,0.006109670088810844
1,43,0.04839703283802911,0.05949728932531714,0.060463245780138515,0.048398233280224696,0.04840040815499071
3,43,0.014726763833196908,0.01980784823890642,0.020528408667504393,0.01472366411495894,0.014723211581861167
1,44,0.04575769776210434,0.05921633039903021,0.06011350143658451,0.04576201897095141,0.04575626959245811
3,44,0.02031154580600491,0.026420590994319336,0.02735126928906739,0.02031007764767993,0.020309070030167745
1,45,0.03618610030639256,0.05080846596606095,0.05216668201987676,0.0361872982036843,0.0361856052756048
3,45,0.021836396366767444,0.02745792065947305,0.027766264357482844,0.021835919382402202,0.021834264420994388
1,46,0.020642626527428782,0.032313071802627755,0.03503136986014763,0.020640174196206035,0.020644419464341007
3,46,0.019059369962866186,0.024636585579865606,0.024870873280792155,0.01905794135344496,0.01905786355727294
1,47,0.0011281884539871493,0.0018772774117017013,0.0020135440565606584,0.0011273848008108976,0.0011293963273925408
3,47,0.01242586599305672,0.016967712860963304,0.01727039263422157,0.012424100668652906,0.012426574686455544
1,48,0.018674176473475794,0.029519279699759562,0.0315637346779549,0.018670643128650313,0.018677813498093783
3,48,0.0032703132422053616,0.00500576656371278,0.005381829222876913,0.003271077805033386,0.0032727693207205664
1,49,0.03476565739757136,0.04916230373613341,0.050601463195565945,0.034758577621547646,0.03477381967309537
3,49,0.00703461244033983,0.01065404115898007,0.01131164168775679,0.007031846513134129,0.007031286445943858
1,50,0.04504558927118031,0.05875947700790087,0.059710393127058906,0.04504146954227111,0.04505323654606061
3,50,0.015447669214362737,0.020747741078531324,0.02156383268957405,0.015444529644907364,0.01544408193399036
