particle,q,rms_over_L,max_over_L
1,149,8.640325455147561e-05,0.00017731086150400834
1,298,0.00017271795219210966,0.000351493436065282
1,447,0.000259061312136493,0.0005254715393688919
1,596,0.00034554100516221716,0.0006918389862878825
1,745,0.00043222525482265186,0.0008566600795235958
1,894,0.0005191273983226678,0.0010132117990305307
1,996,0.0005254810197716755,0.0010193601283829566
1,847,0.0006124094239315399,0.0011728376842898717
1,698,0.000698988983075115,0.0013189541990845934
1,549,0.0007852041242415831,0.0014616613117151259
3,835,3.062392941401283e-05,5.296222164902285e-05
3,904,5.706975021044376e-05,9.867894746244107e-05
3,69,8.769415613310168e-05,0.0001515769617454045
3,766,0.00011831638172231752,0.0002044977334680291
3,973,0.00014475271466354525,0.0002500714633044263
3,138,0.0001753744562052196,0.0003028101644746146
3,697,0.00020599402761880715,0.0003554221752012353
3,207,0.00026303197677994436,0.0004532311247033747
3,628,0.00029364315980846974,0.0005056228747819567
3,276,0.00035065743566806997,0.0006026711284745557
5,712,3.161868145315933e-05,6.107823512033377e-05
5,320,9.162672752179505e-05,0.00017688239158470992
5,392,0.00012323821472095273,0.00023783155478401943
5,640,0.0001831507380597965,0.0003534654913627772
5,72,0.00021473140644802632,0.0004143374713895476
5,784,0.00024627109463442665,0.000475184865491947
5,960,0.00027447632477918483,0.0005297077832691613
5,248,0.0003059050143295386,0.0005903326514338539
5,464,0.00033744887537239226,0.0006507852815415203
5,568,0.00039680755507134067,0.0007654076122241974
7,9,0.00702640133962493,0.0166492763398376
7,18,0.013666881953503652,0.03100755790957079
7,27,0.019945151603141295,0.04480750633744376
7,35,0.025343453227862592,0.08510993162903278
7,44,0.02581519703260622,0.0896907813720616
7,53,0.027586169142278797,0.09735606508700677
7,62,0.030314648591179615,0.10507848983450173
7,71,0.033673747158330096,0.11016460217313385
7,1,0.03504290969922687,0.05643099875339889
7,80,0.03741085414084034,0.11061446967457673
