particle,multiple,lag,rms_over_L,max_over_L
1,1,8,0.0032850811344114893,0.0058071307593212
1,2,16,0.006506423640037549,0.011129599244014575
1,3,24,0.009647301257261636,0.015944287320986506
1,4,32,0.012718469728067556,0.020642810210379895
1,5,40,0.015729285789345845,0.0259332367739172
1,6,48,0.018674176473475794,0.0315637346779549
1,7,56,0.02153503096110254,0.03639199616581063
1,8,64,0.024286787708780858,0.04017215343738994
1,9,72,0.02691230706708872,0.04290341066162004
1,10,80,0.029411082726815908,0.045083167805250096
1,11,88,0.03178594466260572,0.04738975208672001
1,12,96,0.034030501357065056,0.04983745021941363
1,13,104,0.0361312199067201,0.05209788837175065
1,14,112,0.038076313598212355,0.054169927571795985
1,15,120,0.039859532602345114,0.055331306019273295
1,16,128,0.04148267829515313,0.05667591033476627
1,17,136,0.04294863622638205,0.05807185659480663
1,18,144,0.04425261165949814,0.05912848764798746
1,19,152,0.04538429527787175,0.05992288692094298
1,20,160,0.04633766131027728,0.06054323711065756
3,1,7,0.001079796849744333,0.0017880784242740968
3,2,14,0.0021449425719714432,0.0035424838352319924
3,3,21,0.003184472675179747,0.005245971914894646
3,4,28,0.0041924734480839766,0.006884286576026663
3,5,35,0.005167924137624335,0.00844976820843492
3,6,42,0.00611357424906443,0.009932769343570166
3,7,49,0.00703461244033983,0.01131164168775679
3,8,56,0.007937301601325704,0.012583122710111564
3,9,63,0.008827479116093925,0.013729640997568831
3,10,70,0.009708944344312605,0.014760406163043574
3,11,77,0.010582167928557405,0.015667861092556093
3,12,84,0.011444145074538743,0.016463672724426528
3,13,91,0.012289510554591066,0.017165564996604488
3,14,98,0.01311208231228484,0.017951182582508097
3,15,105,0.013906058984808817,0.01924510135360227
3,16,112,0.014666710855079394,0.020441888243601877
3,17,119,0.015390692223799497,0.021482595193891174
3,18,126,0.016076111839503138,0.02238119228794965
3,19,133,0.01672251551439772,0.02311430822849348
3,20,140,0.01733075380739709,0.02369918178972696
5,1,8,0.0019308879958864441,0.0036043797355192627
5,2,16,0.0029201142320086793,0.004915810278156881
5,3,24,0.002530355832060955,0.004480988620543675
5,4,32,0.0009331330828396982,0.0017928690630213426
5,5,40,0.001133914018938043,0.002171195654551616
5,6,48,0.0026332855967571346,0.004594165596291787
5,7,56,0.002879059936568079,0.004880620672413086
5,8,64,0.0017650093949322895,0.0033228980803337222
5,9,72,0.00021473140644802632,0.0004143374713895476
5,10,80,0.0020858512348621737,0.003856187140355354
5,11,88,0.002945453917382864,0.004927643044662312
5,12,96,0.0024151558692369003,0.004337334468765574
5,13,104,0.0007278416666694104,0.001401295792620658
5,14,112,0.0013277379734891038,0.00253300556329524
5,15,120,0.002722269446571983,0.004704565909277252
5,16,128,0.002824205818215078,0.004823449436865179
5,17,136,0.0015904110208190948,0.0030145118963269793
5,18,144,0.00042826815035181486,0.0008256887320476513
5,19,152,0.00223001116290398,0.004077568391893044
5,20,160,0.002955906822023981,0.004915000829385431
7,1,9,0.00702640133962493,0.0166492763398376
7,2,18,0.013666881953503652,0.03100755790957079
7,3,27,0.019945151603141295,0.04480750633744376
7,4,36,0.025910296411978964,0.06009794757611307
7,5,45,0.031600373127411825,0.07031599161004329
7,6,54,0.036996281381841155,0.07986064238911664
7,7,63,0.04205973114169315,0.08787598202669154
7,8,72,0.0467816402246438,0.09315301911740156
7,9,81,0.05116106976382855,0.10091250935730119
7,10,90,0.05520184445321647,0.10455024685591857
7,11,99,0.05890459739622106,0.10771613901948615
7,12,108,0.06228001587257109,0.108624970992037
7,13,117,0.0653431206644246,0.11329745523561063
7,14,126,0.06811173561315664,0.11590135685229826
7,15,135,0.07059660736209594,0.11757996379631787
7,16,144,0.0727928435930864,0.11769712627170369
7,17,153,0.07468052429933543,0.11868197020175525
7,18,162,0.07623678117976421,0.11845347122904029
7,19,171,0.0774421855163713,0.11912171738815999
7,20,180,0.07828298947375512,0.12018425873667747
