particle,peak_number,lag,correlation,interval_from_previous
1,1,8,0.9909531594278768,
1,2,16,0.9645149716240786,8
1,3,24,0.9219997968011269,8
1,4,31,0.9517356625446193,7
1,5,39,0.9838080916830052,8
1,6,47,0.9989329573211121,8
1,7,55,0.9960640504000999,8
1,8,63,0.9754305822297034,8
1,9,71,0.9382732151186715,8
1,10,78,0.9371145221346161,7
3,1,7,0.9951873156372303,
3,2,14,0.9810107252914593,7
3,3,21,0.9581429159290425,7
3,4,28,0.9274424599236507,7
3,5,35,0.8897369899030225,7
3,6,41,0.9244562027193821,6
3,7,48,0.9558331838002727,7
3,8,55,0.9794334471578449,7
3,9,62,0.9943750709365519,7
3,10,69,0.9999682522930656,7
3,11,76,0.9959320441611053,7
5,1,8,0.9982772515144361,
5,2,16,0.9960596937697835,8
5,3,24,0.9970414160833423,8
5,4,32,0.9995976699784863,8
5,5,40,0.9994059051826373,8
5,6,48,0.9967958005281681,8
5,7,56,0.9961697214111491,8
5,8,64,0.9985605434210462,8
5,9,72,0.9999786949886504,8
7,1,9,0.9894170607624001,
7,2,18,0.9599798903870708,9
7,3,27,0.9148288306233116,9
7,4,35,0.8631426175039808,8
7,5,44,0.8581411017626762,9
7,6,53,0.8380553577257688,9
7,7,62,0.8044163176416881,9
7,8,71,0.7586537957447265,9
