
[2026-09-20T15:52:40.409164+00:00] Cell 1: parameters

[2026-09-20T15:52:40.537338+00:00] Cell 2: 2
Worker 7: checkpoint 500/100000 (0.5%), t=25
Worker 3: checkpoint 500/100000 (0.5%), t=25
Worker 6: checkpoint 500/100000 (0.5%), t=25
Worker 13: checkpoint 500/100000 (0.5%), t=25
Worker 5: checkpoint 500/100000 (0.5%), t=25
Worker 14: checkpoint 500/100000 (0.5%), t=25
Worker 1: checkpoint 500/100000 (0.5%), t=25
Worker 12: checkpoint 500/100000 (0.5%), t=25
Worker 15: checkpoint 500/100000 (0.5%), t=25
Worker 2: checkpoint 500/100000 (0.5%), t=25
Worker 11: checkpoint 500/100000 (0.5%), t=25
Worker 4: checkpoint 500/100000 (0.5%), t=25
Worker 8: checkpoint 500/100000 (0.5%), t=25
Worker 16: checkpoint 500/100000 (0.5%), t=25
Worker 10: checkpoint 500/100000 (0.5%), t=25
Worker 9: checkpoint 500/100000 (0.5%), t=25
Worker 3: checkpoint 1000/100000 (1.0%), t=50
Worker 1: checkpoint 1000/100000 (1.0%), t=50
Worker 12: checkpoint 1000/100000 (1.0%), t=50
Worker 14: checkpoint 1000/100000 (1.0%), t=50
Worker 2: checkpoint 1000/100000 (1.0%), t=50
Worker 6: checkpoint 1000/100000 (1.0%), t=50
Worker 15: checkpoint 1000/100000 (1.0%), t=50
Worker 5: checkpoint 1000/100000 (1.0%), t=50
Worker 7: checkpoint 1000/100000 (1.0%), t=50
Worker 11: checkpoint 1000/100000 (1.0%), t=50
Worker 4: checkpoint 1000/100000 (1.0%), t=50
Worker 8: checkpoint 1000/100000 (1.0%), t=50
Worker 13: checkpoint 1000/100000 (1.0%), t=50
Worker 9: checkpoint 1000/100000 (1.0%), t=50
Worker 16: checkpoint 1000/100000 (1.0%), t=50
Worker 10: checkpoint 1000/100000 (1.0%), t=50
Worker 1: checkpoint 1500/100000 (1.5%), t=75
Worker 3: checkpoint 1500/100000 (1.5%), t=75
Worker 12: checkpoint 1500/100000 (1.5%), t=75
Worker 2: checkpoint 1500/100000 (1.5%), t=75
Worker 14: checkpoint 1500/100000 (1.5%), t=75
Worker 6: checkpoint 1500/100000 (1.5%), t=75
Worker 15: checkpoint 1500/100000 (1.5%), t=75
Worker 5: checkpoint 1500/100000 (1.5%), t=75
Worker 13: checkpoint 1500/100000 (1.5%), t=75
Worker 8: checkpoint 1500/100000 (1.5%), t=75
Worker 4: checkpoint 1500/100000 (1.5%), t=75
Worker 11: checkpoint 1500/100000 (1.5%), t=75
