
[2026-09-20T17:06:28.083226+00:00] Cell 1: parameters

[2026-09-20T17:06:28.301317+00:00] Cell 2: 2
Worker 4: checkpoint 500/100000 (0.5%)
Worker 2: checkpoint 500/100000 (0.5%)
Worker 4: checkpoint 500/100000 (0.5%)
Worker 2: checkpoint 500/100000 (0.5%)
Worker 4: checkpoint 1000/100000 (1.0%)
Worker 2: checkpoint 1000/100000 (1.0%)
Worker 4: checkpoint 1000/100000 (1.0%)
Worker 2: checkpoint 1000/100000 (1.0%)
Worker 4: checkpoint 1500/100000 (1.5%)
Worker 2: checkpoint 1500/100000 (1.5%)
Worker 4: checkpoint 1500/100000 (1.5%)
Worker 2: checkpoint 1500/100000 (1.5%)
Worker 3: checkpoint 500/100000 (0.5%)
Worker 3: checkpoint 500/100000 (0.5%)
Worker 1: checkpoint 500/100000 (0.5%)
Worker 1: checkpoint 500/100000 (0.5%)
Worker 2: checkpoint 2000/100000 (2.0%)
Worker 2: checkpoint 2000/100000 (2.0%)
Worker 3: checkpoint 1000/100000 (1.0%)
Worker 3: checkpoint 1000/100000 (1.0%)
Worker 2: checkpoint 2500/100000 (2.5%)
Worker 2: checkpoint 2500/100000 (2.5%)
Worker 3: checkpoint 1500/100000 (1.5%)
Worker 3: checkpoint 1500/100000 (1.5%)
Worker 4: checkpoint 2000/100000 (2.0%)
Worker 4: checkpoint 2000/100000 (2.0%)
Worker 3: checkpoint 2000/100000 (2.0%)
Worker 2: checkpoint 3000/100000 (3.0%)
Worker 3: checkpoint 2000/100000 (2.0%)
Worker 2: checkpoint 3000/100000 (3.0%)
Worker 4: checkpoint 2500/100000 (2.5%)
Worker 4: checkpoint 2500/100000 (2.5%)
Worker 1: checkpoint 1000/100000 (1.0%)
Worker 3: checkpoint 2500/100000 (2.5%)
Worker 1: checkpoint 1000/100000 (1.0%)
Worker 3: checkpoint 2500/100000 (2.5%)
Worker 4: checkpoint 3000/100000 (3.0%)
Worker 4: checkpoint 3000/100000 (3.0%)
Worker 3: checkpoint 3000/100000 (3.0%)
Worker 2: checkpoint 3500/100000 (3.5%)
Worker 3: checkpoint 3000/100000 (3.0%)
Worker 2: checkpoint 3500/100000 (3.5%)
Worker 3: checkpoint 3500/100000 (3.5%)
Worker 2: checkpoint 4000/100000 (4.0%)
Worker 3: checkpoint 3500/100000 (3.5%)
Worker 2: checkpoint 4000/100000 (4.0%)
Worker 3: checkpoint 4000/100000 (4.0%)
Worker 3: checkpoint 4000/100000 (4.0%)
Worker 2: checkpoint 4500/100000 (4.5%)
Worker 2: checkpoint 4500/100000 (4.5%)
Worker 1: checkpoint 1500/100000 (1.5%)
Worker 1: checkpoint 1500/100000 (1.5%)
Worker 3: checkpoint 4500/100000 (4.5%)
Worker 3: checkpoint 4500/100000 (4.5%)
Worker 2: checkpoint 5000/100000 (5.0%)
Worker 4: checkpoint 3500/100000 (3.5%)
Worker 2: checkpoint 5000/100000 (5.0%)
Worker 4: checkpoint 3500/100000 (3.5%)
Worker 3: checkpoint 5000/100000 (5.0%)
Worker 3: checkpoint 5000/100000 (5.0%)
Worker 2: checkpoint 5500/100000 (5.5%)
Worker 2: checkpoint 5500/100000 (5.5%)
Worker 3: checkpoint 5500/100000 (5.5%)
Worker 3: checkpoint 5500/100000 (5.5%)
Worker 2: checkpoint 6000/100000 (6.0%)
Worker 2: checkpoint 6000/100000 (6.0%)
Worker 4: checkpoint 4000/100000 (4.0%)
Worker 4: checkpoint 4000/100000 (4.0%)
Worker 1: checkpoint 2000/100000 (2.0%)
Worker 2: checkpoint 6500/100000 (6.5%)
Worker 1: checkpoint 2000/100000 (2.0%)
Worker 2: checkpoint 6500/100000 (6.5%)
Worker 4: checkpoint 4500/100000 (4.5%)
Worker 4: checkpoint 4500/100000 (4.5%)
Worker 3: checkpoint 6000/100000 (6.0%)
Worker 3: checkpoint 6000/100000 (6.0%)
Worker 2: checkpoint 7000/100000 (7.0%)
Worker 2: checkpoint 7000/100000 (7.0%)
Worker 4: checkpoint 5000/100000 (5.0%)
Worker 4: checkpoint 5000/100000 (5.0%)
Worker 2: checkpoint 7500/100000 (7.5%)
Worker 2: checkpoint 7500/100000 (7.5%)
Worker 4: checkpoint 5500/100000 (5.5%)
