sistema,método,h,T solicitado,T efectivo,max absoluto,max relativo,error final,evaluaciones fuerza
Oscilador,BM4,0.4,10,10,3.617934554722702e-06,7.235869109445403e-06,-1.071662556029196e-06,150
Oscilador,BM4,0.4,100,100,3.620995923325765e-06,7.24199184665153e-06,-9.285605127029584e-07,1500
Oscilador,BM4,0.4,1000,1000,3.621020246813433e-06,7.242040493626867e-06,-2.47464776442774e-06,15000
Oscilador,BM4,0.4,10000,10000,3.621021728739127e-06,7.242043457478253e-06,-3.310267828737778e-07,150000
Oscilador,BM4,0.2,10,10,2.24108968549519e-07,4.48217937099038e-07,-6.638361504940349e-08,300
Oscilador,BM4,0.2,100,100,2.242986322231744e-07,4.485972644463487e-07,-5.751237230899875e-08,3000
Oscilador,BM4,0.2,1000,1000,2.243000546964247e-07,4.486001093928493e-07,-1.533562785649423e-07,30000
Oscilador,BM4,0.2,10000,10000,2.24300197970706e-07,4.48600395941412e-07,-2.092180351187523e-08,300000
Oscilador,BM4,0.1,10,10,1.398557397669364e-08,2.797114795338729e-08,-4.139790510393482e-09,600
Oscilador,BM4,0.1,100,100,1.398762289328559e-08,2.797524578657118e-08,-3.586539176758663e-09,6000
Oscilador,BM4,0.1,1000,1000,1.398771698468693e-08,2.797543396937385e-08,-9.563797309652955e-09,60000
Oscilador,BM4,0.1,10000,10000,1.398773485927762e-08,2.797546971855525e-08,-1.306321273375488e-09,600000
Oscilador,BM4,0.05,10,10,8.737346957055081e-10,1.747469391411016e-09,-2.585927028064816e-10,1200
Oscilador,BM4,0.05,100,100,8.737460199803593e-10,1.747492039960719e-09,-2.240355678750916e-10,12000
Oscilador,BM4,0.05,1000,1000,8.737551793203124e-10,1.747510358640625e-09,-5.97399796298248e-10,120000
Oscilador,BM4,0.05,10000,10000,8.737602308350745e-10,1.747520461670149e-09,-8.158490549803332e-11,1200000
Oscilador,RK4,0.4,10,10,0.000696422860146928,0.001392845720293856,-0.000696422860146928,100
Oscilador,RK4,0.4,100,100,0.006920739903777284,0.01384147980755457,-0.006920739903777284,1000
Oscilador,RK4,0.4,1000,1000,0.06505202107161301,0.130104042143226,-0.06505202107161301,10000
Oscilador,RK4,0.4,10000,10000,0.3759367561203971,0.7518735122407942,-0.3759367561203971,100000
