sistema,método,h,bloque,inicio,fin,mínimo,máximo,media
Oscilador,BM4,0.2,1,0.2,1000,-2.243000546964247e-07,-1.054711873393899e-15,-1.121139858898723e-07
Oscilador,BM4,0.2,2,1000.2,2000,-2.243000730151046e-07,1.554312234475219e-15,-1.122434356584989e-07
Oscilador,BM4,0.2,3,2000.2,3000,-2.243000954971208e-07,1.887379141862766e-15,-1.121176362785747e-07
Oscilador,BM4,0.2,4,3000.2,4000,-2.243001049340165e-07,-4.440892098500626e-16,-1.120806199129798e-07
Oscilador,BM4,0.2,5,4000.2,5000,-2.243001330226591e-07,-1.84297022087776e-14,-1.122336250398037e-07
Oscilador,BM4,0.2,6,5000.200000000001,6000,-2.243001545054746e-07,-2.892130979148533e-14,-1.121582114537056e-07
Oscilador,BM4,0.2,7,6000.200000000001,7000,-2.243001734902883e-07,-3.569367024169878e-14,-1.120606347304709e-07
Oscilador,BM4,0.2,8,7000.200000000001,8000,-2.243001917534571e-07,-6.078471059822732e-14,-1.122077673044064e-07
Oscilador,BM4,0.2,9,8000.200000000001,9000,-2.243001909207898e-07,-7.255307465925398e-14,-1.121972272890348e-07
Oscilador,BM4,0.2,10,9000.200000000001,10000,-2.24300197970706e-07,-8.071321389024888e-14,-1.120578417042051e-07
Oscilador,RK4,0.2,1,0.2,1000,-0.002206230271063037,-4.422222222855154e-07,-0.001104148795331318
Oscilador,RK4,0.2,2,1000.2,2000,-0.004402725638105842,-0.00220667054199708,-0.00330550705340109
Oscilador,RK4,0.2,3,2000.2,3000,-0.006589529056014565,-0.004403163966361867,-0.005497151905019309
Oscilador,RK4,0.2,4,3000.2,4000,-0.008766683290126309,-0.006589965450164437,-0.0076791262102077
Oscilador,RK4,0.2,5,4000.2,5000,-0.0109342309170859,-0.008767117758704257,-0.009851472639870193
Oscilador,RK4,0.2,6,5000.200000000001,6000,-0.01309221432566504,-0.01093466346858829,-0.01201423367662536
Oscilador,RK4,0.2,7,6000.200000000001,7000,-0.01524067571760501,-0.013092644968551,-0.01416745161564457
Oscilador,RK4,0.2,8,7000.200000000001,8000,-0.01737965710842393,-0.01524110446029625,-0.0163111685654679
Oscilador,RK4,0.2,9,8000.200000000001,9000,-0.01950920032825826,-0.01738008395930507,-0.01844542644883425
Oscilador,RK4,0.2,10,9000.200000000001,10000,-0.02162934702266567,-0.01950962529567668,-0.0205702670035097
Péndulo,BM4,0.2,1,0.2,1000,-3.454183583606607e-08,-1.77635683940025e-14,-1.934603361251064e-08
Péndulo,BM4,0.2,2,1000.2,2000,-3.454184827056395e-08,-4.840572387365683e-14,-1.934564089645096e-08
Péndulo,BM4,0.2,3,2000.2,3000,-3.454184072104738e-08,-3.363975764614224e-14,-1.934447309306364e-08
Péndulo,BM4,0.2,4,3000.2,4000,-3.454184449580566e-08,-3.674838211509268e-14,-1.934260216320816e-08
Péndulo,BM4,0.2,5,4000.2,5000,-3.454186114915103e-08,-4.785061236134425e-14,-1.934042800559865e-08
Péndulo,BM4,0.2,6,5000.200000000001,6000,-3.454182873063871e-08,-1.876276911616515e-14,-1.933878099595887e-08
Péndulo,BM4,0.2,7,6000.200000000001,7000,-3.454183916673514e-08,-2.953193245502916e-14,-1.933870011934236e-08
Péndulo,BM4,0.2,8,7000.200000000001,8000,-3.45418238456574e-08,-9.547918011776346e-15,-1.934014039797205e-08
Péndulo,BM4,0.2,9,8000.200000000001,9000,-3.454183095108476e-08,-1.498801083243961e-14,-1.934150369120591e-08
Péndulo,BM4,0.2,10,9000.200000000001,10000,-3.454182539996964e-08,-1.398881011027697e-14,-1.934113595982723e-08
Péndulo,RK4,0.2,1,0.2,1000,-0.002379551828683768,-3.324468680343529e-07,-0.001189786234640944
Péndulo,RK4,0.2,2,1000.2,2000,-0.00474892270742755,-0.002375429596577994,-0.00356269392706254
Péndulo,RK4,0.2,3,2000.2,3000,-0.007114104853716441,-0.004744793254539581,-0.005931317288825779
Péndulo,RK4,0.2,4,3000.2,4000,-0.009479983524508073,-0.007108996701210013,-0.00829566530309595
Péndulo,RK4,0.2,5,4000.2,5000,-0.01183423987928034,-0.009475695227655567,-0.01065573683127147
Péndulo,RK4,0.2,6,5000.200000000001,6000,-0.01418936290175821,-0.01182913459293944,-0.01301155022887428
Péndulo,RK4,0.2,7,6000.200000000001,7000,-0.01654009130920264,-0.01418538521884105,-0.01536310530852816
Péndulo,RK4,0.2,8,7000.200000000001,8000,-0.01888558032618359,-0.01653592490300682,-0.0177104098089809
Péndulo,RK4,0.2,9,8000.200000000001,9000,-0.02122553365804469,-0.01888119488880846,-0.02005347153046275
Péndulo,RK4,0.2,10,9000.200000000001,10000,-0.02356108354312436,-0.0212217625092137,-0.02239229950516729
